孤儿图片修复日志
生成时间: 2026-03-21 08:09:03
============================================================

[成功] 书籍: ai-for-water-engineering, 文件: ch02.md, 行号: 8, 图片: figures/ch02_architecture.png
[跳过] 书籍: reservoir-operation-optimization, 文件: ch01.md, 图片: figures/ch01_reservoir_dispatch_simulation.png, 原因: 已存在引用
[成功] 书籍: reservoir-operation-optimization, 文件: ch02.md, 行号: 4, 图片: figures/ch02_architecture.png
[成功] 书籍: reservoir-operation-optimization, 文件: ch05.md, 行号: 115, 图片: figures/ch05_simulation_result.png
[成功] 书籍: reservoir-operation-optimization, 文件: ch07.md, 行号: 120, 图片: figures/ch07_simulation_result.png
[成功] 书籍: river-sediment-dynamics, 文件: ch01.md, 行号: 108, 图片: figures/ch01_simulation_result.png
[成功] 书籍: river-sediment-dynamics, 文件: ch03.md, 行号: 7, 图片: figures/ch03_simulation_result.png
[成功] 书籍: river-sediment-dynamics, 文件: ch04.md, 行号: 67, 图片: figures/ch04_simulation_result.png
[跳过] 书籍: river-sediment-dynamics, 文件: ch05.md, 图片: figures/ch05_bed_evolution.png, 原因: 已存在引用
[成功] 书籍: river-sediment-dynamics, 文件: ch05.md, 行号: 86, 图片: figures/ch05_simulation_result.png
[成功] 书籍: river-sediment-dynamics, 文件: ch06.md, 行号: 26, 图片: figures/ch06_simulation_result.png
[成功] 书籍: ship-lock-automation, 文件: ch01.md, 行号: 150, 图片: figures/ch01_simulation_result.png
[成功] 书籍: ship-lock-automation, 文件: ch02.md, 行号: 73, 图片: figures/ch02_simulation_result.png
[成功] 书籍: ship-lock-automation, 文件: ch03.md, 行号: 85, 图片: figures/ch03_simulation_result.png
[成功] 书籍: ship-lock-automation, 文件: ch04.md, 行号: 7, 图片: figures/ch04_simulation_result.png
[成功] 书籍: underground-water-dynamics, 文件: ch01.md, 行号: 10, 图片: assets/ch01/concept_groundwater_fundamentals.png
[成功] 书籍: underground-water-dynamics, 文件: ch02.md, 行号: 10, 图片: assets/ch02/concept_parameter_calibration.png
[成功] 书籍: underground-water-dynamics, 文件: ch03.md, 行号: 10, 图片: assets/ch03/concept_sw_gw_coupling.png
[成功] 书籍: underground-water-dynamics, 文件: ch04.md, 行号: 10, 图片: assets/ch04/concept_human_impact.png
[成功] 书籍: underground-water-dynamics, 文件: ch05.md, 行号: 10, 图片: assets/ch05/concept_intelligent_digital_twin.png
[成功] 书籍: water-energy-food-nexus, 文件: ch01.md, 行号: 29, 图片: figures/ch01_simulation_result.png
[成功] 书籍: water-energy-food-nexus, 文件: ch02.md, 行号: 24, 图片: figures/ch02_simulation_result.png
[成功] 书籍: water-energy-food-nexus, 文件: ch04.md, 行号: 152, 图片: figures/ch04_simulation_result.png
[成功] 书籍: water-energy-food-nexus, 文件: ch05.md, 行号: 80, 图片: figures/ch05_simulation_result.png
[成功] 书籍: water-energy-food-nexus, 文件: ch06.md, 行号: 16, 图片: figures/ch06_simulation_result.png
[成功] 书籍: water-resource-planning-management, 文件: ch03.md, 行号: 4, 图片: assets/ch03/concept_dp_reservoir.png
[成功] 书籍: water-resource-planning-management, 文件: ch03.md, 行号: 100, 图片: assets/ch03/problem_nano.png
[成功] 书籍: water-system-control, 文件: ch01.md, 行号: 54, 图片: assets/ch01/tank_diagram.png
[成功] 书籍: water-system-control, 文件: ch01.md, 行号: 54, 图片: assets/ch01/tank_nano_diagram.png
[成功] 书籍: water-system-control, 文件: ch01.md, 行号: 54, 图片: assets/ch01/tank_nano_diagram_v2.png
[成功] 书籍: water-system-control, 文件: ch01.md, 行号: 54, 图片: assets/ch01/tank_nano_diagram_v3.png
[成功] 书籍: water-system-control, 文件: ch02.md, 行号: 62, 图片: assets/ch02/tank_windup_diagram.png
[成功] 书籍: water-system-control, 文件: ch02.md, 行号: 62, 图片: assets/ch02/tank_windup_diagram_nano.png
[成功] 书籍: water-system-control, 文件: ch03.md, 行号: 74, 图片: assets/ch03/problem_nano.png
[成功] 书籍: water-system-control, 文件: ch04.md, 行号: 12, 图片: assets/ch04/coupled_tanks_nano.png
[成功] 书籍: water-system-control, 文件: ch04.md, 行号: 125, 图片: assets/ch04/coupled_tanks_sim.png
[成功] 书籍: water-system-control, 文件: ch04.md, 行号: 68, 图片: assets/ch04/problem_nano.png
[成功] 书籍: water-system-control, 文件: ch05.md, 行号: 29, 图片: assets/ch05/kalman_nano.png
[成功] 书籍: water-system-control, 文件: ch06.md, 行号: 73, 图片: assets/ch06/lqr_diagram.png
[成功] 书籍: water-system-control, 文件: ch06.md, 行号: 73, 图片: assets/ch06/lqr_nano_diagram.png
[成功] 书籍: water-system-control, 文件: ch06.md, 行号: 169, 图片: assets/ch06/lqr_sim.png
[成功] 书籍: water-system-control, 文件: ch07.md, 行号: 21, 图片: assets/ch07/mpc_diagram.png
[成功] 书籍: water-system-control, 文件: ch07.md, 行号: 129, 图片: assets/ch07/mpc_sim.png
[成功] 书籍: water-system-control, 文件: ch08.md, 行号: 50, 图片: assets/ch08/canal_delay_sim.png
[成功] 书籍: water-system-control, 文件: ch08.md, 行号: 112, 图片: assets/ch08/canal_nano_diagram.png
[成功] 书籍: water-system-control, 文件: ch09.md, 行号: 21, 图片: assets/ch09/smc_diagram.png
[成功] 书籍: water-system-control, 文件: ch09.md, 行号: 140, 图片: assets/ch09/smc_sim.png
[成功] 书籍: water-system-control, 文件: ch10.md, 行号: 69, 图片: assets/ch10/problem_nano.png
[成功] 书籍: water-system-control, 文件: ch10.md, 行号: 12, 图片: assets/ch10/rl_learning_curve.png
[成功] 书籍: wind-power-system-modeling-control, 文件: ch03.md, 行号: 4, 图片: assets/ch03/concept_full_converter_pmsg.png
[成功] 书籍: wind-power-system-modeling-control, 文件: ch04.md, 行号: 4, 图片: assets/ch04/concept_wake_cooperative.png
[成功] 书籍: wind-power-system-modeling-control, 文件: ch05.md, 行号: 4, 图片: assets/ch05/concept_wind_hydro_dispatch.png

============================================================
总计: 成功 118 个, 跳过 5 个, 警告 0 个
